"Year","Country","exF"
1960,"France",73.6124202417504
1961,"France",74.3679362191459
1962,"France",73.9004113574497
1963,"France",73.8103232425927
1964,"France",74.8250688130394
1965,"France",74.724847501624
1966,"France",75.1806469823458
1967,"France",75.2024870065618
1968,"France",75.2215873085582
1969,"France",75.0494105659647
1970,"France",75.8154304081842
1971,"France",75.8788757210594
1972,"France",76.1944262154847
1973,"France",76.319209097973
1974,"France",76.748540492072
1975,"France",76.871839337349
1976,"France",77.1988923892954
1977,"France",77.8372918530494
1978,"France",77.9593236864475
1979,"France",78.2811241166202
1980,"France",78.4010449220746
1981,"France",78.5009189087041
1982,"France",78.8946409613737
1983,"France",78.820664750387
1984,"France",79.3618000592746
1985,"France",79.4523456059316
1986,"France",79.713670332825
1987,"France",80.3010706604816
1988,"France",80.4919552892514
1989,"France",80.6724426005859
1990,"France",80.9747616784292
1991,"France",81.1758067570593
1992,"France",81.466713840032
1993,"France",81.4678535711388
1994,"France",81.8949890411613
1995,"France",81.9036730881186
1996,"France",82.0581035503511
1997,"France",82.3125988930998
1998,"France",82.4168300639048
1999,"France",82.520468499128
2000,"France",82.8038690643379
2001,"France",82.9453528761337
2002,"France",83.0415791183383
2003,"France",82.9516240339986
2004,"France",83.8660928738895
2005,"France",83.8213707772117
2006,"France",84.1777539034828
2007,"France",84.3804261029474
2008,"France",84.3228935475838
2009,"France",84.4215256055705
2010,"France",84.6616389463004
2011,"France",84.9969846003163
2012,"France",84.84435552462
2013,"France",85.0493337067224
2014,"France",85.4469356719441
2015,"France",85.1534575657871
2016,"France",85.3355664101657
2017,"France",85.2956531313087
1960,"Sweden",74.8806116299713
1961,"Sweden",75.382132877066
1962,"Sweden",75.4167392458418
1963,"Sweden",75.6148808813314
1964,"Sweden",75.8709071249724
1965,"Sweden",76.0833946383581
1966,"Sweden",76.4553009216321
1967,"Sweden",76.5557091089332
1968,"Sweden",76.3900847513751
1969,"Sweden",76.6337576065129
1970,"Sweden",77.2097969707189
1971,"Sweden",77.3903243540172
1972,"Sweden",77.5280763204553
1973,"Sweden",77.7242959534493
1974,"Sweden",77.9039825514693
1975,"Sweden",77.9463141492779
1976,"Sweden",77.9595034208086
1977,"Sweden",78.5725691342418
1978,"Sweden",78.6893591660187
1979,"Sweden",78.7252494166547
1980,"Sweden",78.8545627074595
1981,"Sweden",79.1447541265596
1982,"Sweden",79.4015855525762
1983,"Sweden",79.64542735467
1984,"Sweden",79.9342644929062
1985,"Sweden",79.6976319096965
1986,"Sweden",80.0286630208562
1987,"Sweden",80.1397496719411
1988,"Sweden",79.9303969983691
1989,"Sweden",80.5613003542185
1990,"Sweden",80.3956680195825
1991,"Sweden",80.541121661039
1992,"Sweden",80.7846403337703
1993,"Sweden",80.7746728642921
1994,"Sweden",81.3814001336734
1995,"Sweden",81.4507469314323
1996,"Sweden",81.5159782166943
1997,"Sweden",81.7956417976619
1998,"Sweden",81.9179728785723
1999,"Sweden",81.8915994464699
2000,"Sweden",82.013820702729
2001,"Sweden",82.059430081747
2002,"Sweden",82.0870703605304
2003,"Sweden",82.4125737550379
2004,"Sweden",82.663198064281
2005,"Sweden",82.755381234078
2006,"Sweden",82.8978733968128
2007,"Sweden",82.9457994529548
2008,"Sweden",83.1185013844739
2009,"Sweden",83.3312460212969
2010,"Sweden",83.4834785061948
2011,"Sweden",83.6691129729195
2012,"Sweden",83.5365689393904
2013,"Sweden",83.7104253556215
2014,"Sweden",84.0537555891185
2015,"Sweden",84.0230807364375
2016,"Sweden",84.0884033735088
2017,"Sweden",84.1139209729613
1960,"USA",73.3107593819458
1961,"USA",73.7145264706397
1962,"USA",73.5943960266102
1963,"USA",73.507776604412
1964,"USA",73.8180440210653
1965,"USA",73.940689089279
1966,"USA",73.9724423732121
1967,"USA",74.3419586757661
1968,"USA",74.0912143675264
1969,"USA",74.4048902192756
1970,"USA",74.6590170025992
1971,"USA",74.9864600707463
1972,"USA",75.1132898732459
1973,"USA",75.3309886979838
1974,"USA",75.8546601194736
1975,"USA",76.4652974117026
1976,"USA",76.6827173152893
1977,"USA",77.0959508022493
1978,"USA",77.234292671816
1979,"USA",77.6679916847364
1980,"USA",77.4791382133227
1981,"USA",77.8039358203863
1982,"USA",78.0819617394784
1983,"USA",78.0901490961661
1984,"USA",78.1716085349148
1985,"USA",78.1805339627299
1986,"USA",78.2685204193019
1987,"USA",78.3573617079357
1988,"USA",78.3067343315439
1989,"USA",78.5618614751923
1990,"USA",78.8448911707841
1991,"USA",78.9697434579863
1992,"USA",79.1838392948572
1993,"USA",78.9333593398652
1994,"USA",79.05439633305
1995,"USA",79.0819916740189
1996,"USA",79.219825266756
1997,"USA",79.3804978116465
1998,"USA",79.4317222048568
1999,"USA",79.35197682996
2000,"USA",79.4345268617834
2001,"USA",79.5245434165477
2002,"USA",79.595698548944
2003,"USA",79.7195610534113
2004,"USA",80.0876049884026
2005,"USA",80.1055146167853
2006,"USA",80.3783973977327
2007,"USA",80.6214423161734
2008,"USA",80.6624034291231
2009,"USA",81.0024433332578
2010,"USA",81.1788772040216
2011,"USA",81.1949115603583
2012,"USA",81.3205498852756
2013,"USA",81.340630311716
2014,"USA",81.4294480012121
2015,"USA",81.305158826239
2016,"USA",81.3637386554597
2017,"USA",81.3672494759204
1960,"Japan",70.1472952468583
1961,"Japan",70.8376832519995
1962,"Japan",71.1428859821389
1963,"Japan",72.2866501228032
1964,"Japan",72.7610090044123
1965,"Japan",72.8499914827644
1966,"Japan",73.6508393020567
1967,"Japan",73.9966143974034
1968,"Japan",74.287154839109
1969,"Japan",74.6359617365491
1970,"Japan",74.684264045133
1971,"Japan",75.4877732337252
1972,"Japan",75.9490618913894
1973,"Japan",76.0306577797227
1974,"Japan",76.3694430293529
1975,"Japan",76.88025959432
1976,"Japan",77.2917417268004
1977,"Japan",77.8678582375378
1978,"Japan",78.2286654659416
1979,"Japan",78.7677814914991
1980,"Japan",78.7696299035835
1981,"Japan",79.1720495997206
1982,"Japan",79.7356527545378
1983,"Japan",79.8329825179998
1984,"Japan",80.2735685436729
1985,"Japan",80.5519945935313
1986,"Japan",80.9900367306413
1987,"Japan",81.4400235842831
1988,"Japan",81.3381598572537
1989,"Japan",81.8108088089485
1990,"Japan",81.8764578518252
1991,"Japan",82.1863398576586
1992,"Japan",82.3117732743313
1993,"Japan",82.4588373458503
1994,"Japan",82.9159484346026
1995,"Japan",82.7977798926529
1996,"Japan",83.5254055983214
1997,"Japan",83.7577711484307
1998,"Japan",83.9420663033245
1999,"Japan",83.9359133123332
2000,"Japan",84.5500329815245
2001,"Japan",84.875897538839
2002,"Japan",85.1778781364514
2003,"Japan",85.2825385768451
2004,"Japan",85.5323496457748
2005,"Japan",85.4504317120272
2006,"Japan",85.7393814200785
2007,"Japan",85.9184947707325
2008,"Japan",85.9836698608639
2009,"Japan",86.3667348742415
2010,"Japan",86.2745996083811
2011,"Japan",85.8958385688743
2012,"Japan",86.4031852565387
2013,"Japan",86.5998329216592
2014,"Japan",86.8207559860848
2015,"Japan",87.0248580839607
2016,"Japan",87.1835084898648
2017,"Japan",87.3194404692699
